source_kind,id,name,source_url,expected_target_url,legacy_http_status,target_http_status,status,reason,evidence
post,595,,https://dash.alelm.net/ksa/595/%d8%b5%d8%ae%d8%b1%d8%a9-%d8%aa%d9%8a%d9%85%d8%a7%d8%a1-%d8%a3%d8%b9%d8%ac%d9%88%d8%a8%d8%a9-%d8%b3%d8%b9%d9%88%d8%af%d9%8a%d8%a9-%d8%ad%d9%8a%d9%91%d8%b1%d8%aa-%d8%a7%d9%84%d8%a8%d8%a7%d8%ad%d8%ab/,,200,404,404,TARGET_404_LIVE,LIVE
post,759,,https://dash.alelm.net/art/759/%d9%87%d9%84-%d8%aa%d8%b3%d8%a8%d8%a8%d8%aa-%d9%84%d8%b9%d9%86%d8%a9-%d8%a7%d9%84%d9%81%d8%b1%d8%a7%d8%b9%d9%86%d8%a9-%d9%81%d9%8a-%d8%ba%d8%b1%d9%82-%d8%aa%d8%a7%d9%8a%d8%aa%d8%a7%d9%86%d9%8a%d9%83/,,200,404,404,TARGET_404_LIVE,LIVE
post,787,,https://dash.alelm.net/art/787/%d9%85%d9%88%d9%86%d8%a7%d9%84%d9%8a%d8%b2%d8%a7-%d8%a7%d9%84%d8%b7%d9%88%d8%a7%d8%a8%d8%b9-%d8%a7%d9%84%d8%a3%d8%ba%d9%84%d9%89-%d9%81%d9%8a-%d8%a7%d9%84%d8%b9%d8%a7%d9%84%d9%85/,,,404,404,TARGET_ROW_ABSENT_INFERRED_404,INFERRED_FROM_ABSENT_DB_ROW
post,797,,https://dash.alelm.net/world/797/%d8%ba%d8%b2%d8%a9-%d8%b6%d8%a8%d8%a7%d8%a8%d9%8a%d8%a9-%d9%81%d9%8a-%d8%ae%d8%b1%d8%a7%d8%a6%d8%b7-%d9%82%d9%88%d9%82%d9%84/,,301,404,404,TARGET_404_LIVE,LIVE
post,815,,https://dash.alelm.net/world/815/%d8%a3%d8%ba%d8%b1%d8%a8-%d9%88%d8%ad%d8%af%d8%a7%d8%aa-%d8%a7%d9%84%d9%82%d9%8a%d8%a7%d8%b3/,,,404,404,TARGET_ROW_ABSENT_INFERRED_404,INFERRED_FROM_ABSENT_DB_ROW
post,823,,https://dash.alelm.net/world/823/%d8%b1%d9%8a%d8%ba%d8%a7%d9%86-%d9%88%d8%ad%d8%b1%d8%a8-%d8%a7%d9%84%d9%86%d8%ac%d9%88%d9%85/,,,404,404,TARGET_ROW_ABSENT_INFERRED_404,INFERRED_FROM_ABSENT_DB_ROW
post,824,,https://dash.alelm.net/art/824/%d9%85%d9%86-%d9%87%d9%8a-%d8%ba%d8%a7%d9%84%d9%8a%d8%a9-%d8%a7%d9%84%d8%a8%d9%82%d9%85%d9%8a%d8%a9%d8%9f/,,,404,404,TARGET_ROW_ABSENT_INFERRED_404,INFERRED_FROM_ABSENT_DB_ROW
post,852,,https://dash.alelm.net/uncategorized/852/%d8%ad%d9%82%d8%a7%d8%a6%d9%82-%d9%85%d8%b1%d8%b9%d8%a8%d8%a9-%d8%b9%d9%86-%d9%85%d9%88%d8%b3%d9%88%d9%84%d9%8a%d9%86%d9%8a/,,307,404,404,TARGET_404_LIVE,LIVE
post,856,,https://dash.alelm.net/world/856/%d9%84%d9%85%d8%a7%d8%b0%d8%a7-%d9%8a%d8%b1%d9%8a%d8%af-%d8%a7%d9%84%d8%a8%d8%b4%d8%b1-%d8%a7%d9%84%d9%88%d8%b5%d9%88%d9%84-%d9%84%d9%84%d9%85%d8%b1%d9%8a%d8%ae%d8%9f/,,,404,404,TARGET_ROW_ABSENT_INFERRED_404,INFERRED_FROM_ABSENT_DB_ROW
post,874,,https://dash.alelm.net/world/874/%d8%a3%d8%ba%d9%84%d9%89-5-%d8%b7%d9%84%d8%a7%d9%82%d8%a7%d8%aa/,,,404,404,TARGET_ROW_ABSENT_INFERRED_404,INFERRED_FROM_ABSENT_DB_ROW
post,878,,https://dash.alelm.net/health/878/%d8%a3%d8%b1%d9%82%d8%a7%d9%85-%d8%ad%d9%88%d9%84-%d8%a7%d9%84%d8%aa%d9%85%d8%b1%d9%8a%d8%b6/,,301,404,404,TARGET_404_LIVE,LIVE
post,898,,https://dash.alelm.net/world/898/%d8%a3%d8%ba%d9%84%d9%89-5-%d8%b7%d9%84%d8%a7%d9%82%d8%a7%d8%aa-%d9%81%d9%8a-%d8%a7%d9%84%d8%b9%d8%a7%d9%84%d9%85/,,,404,404,TARGET_ROW_ABSENT_INFERRED_404,INFERRED_FROM_ABSENT_DB_ROW
post,952,,https://dash.alelm.net/world/952/%d8%a3%d9%83%d8%a8%d8%b1-%d8%b4%d8%b1%d9%83%d8%a7%d8%aa-%d8%a7%d9%84%d9%85%d9%84%d8%a7%d8%a8%d8%b3-%d9%81%d9%8a-%d8%a7%d9%84%d8%b9%d8%a7%d9%84%d9%85/,,,404,404,TARGET_ROW_ABSENT_INFERRED_404,INFERRED_FROM_ABSENT_DB_ROW
post,966,,https://dash.alelm.net/sport/966/%d8%a3%d8%b9%d9%84%d9%89-%d8%a7%d9%84%d8%b1%d9%8a%d8%a7%d8%b6%d9%8a%d9%8a%d9%86-%d8%a3%d8%ac%d8%b1%d9%8b%d8%a7-%d9%81%d9%8a-%d8%a7%d9%84%d8%b9%d8%a7%d9%84%d9%85-2021/,,301,404,404,TARGET_404_LIVE,LIVE
post,979,,https://dash.alelm.net/world/979/%d9%84%d9%85%d8%a7%d8%b0%d8%a7-%d8%aa%d8%aa%d8%b9%d9%85%d8%af-%d8%b4%d8%b1%d9%83%d8%a7%d8%aa-%d8%a7%d9%84%d8%a3%d8%b2%d9%8a%d8%a7%d8%a1-%d8%a7%d9%84%d8%b9%d8%a7%d9%84%d9%85%d9%8a%d8%a9-%d8%ad%d8%b1/,,,404,404,TARGET_ROW_ABSENT_INFERRED_404,INFERRED_FROM_ABSENT_DB_ROW
post,989,,https://dash.alelm.net/economy/989/%d8%a5%d8%b6%d8%b1%d8%a7%d8%a8-%d8%a7%d9%84%d8%b4%d9%88%d9%83%d9%88%d9%84%d8%a7%d8%aa%d8%a9/,,200,404,404,TARGET_404_LIVE,LIVE
post,996,,https://dash.alelm.net/world/996/%d9%81%d9%88%d8%b1%d8%af-%d9%85%d9%84%d9%83%d8%a9-%d8%a7%d9%84%d8%b4%d8%a7%d8%ac%d9%86%d8%a7%d8%aa-%d8%a8%d9%84%d8%a7-%d9%85%d9%86%d8%a7%d8%b2%d8%b9/,,,404,404,TARGET_ROW_ABSENT_INFERRED_404,INFERRED_FROM_ABSENT_DB_ROW
post,1023,,https://dash.alelm.net/technology/1023/%d8%a3%d9%81%d8%b6%d9%84-%d9%87%d9%88%d8%a7%d8%aa%d9%81-%d8%a3%d9%86%d8%af%d8%b1%d9%88%d9%8a%d8%af-%d9%84%d8%b9%d8%a7%d9%85-2021/,,200,404,404,TARGET_404_LIVE,LIVE
post,1024,,https://dash.alelm.net/sport/1024/%d8%a3%d9%81%d8%b6%d9%84-%d9%84%d8%a7%d8%b9%d8%a8%d9%8a-%d8%a7%d9%84%d8%aa%d9%86%d8%b3-%d9%81%d9%8a-%d8%a7%d9%84%d8%aa%d8%a7%d8%b1%d9%8a%d8%ae/,,,404,404,TARGET_ROW_ABSENT_INFERRED_404,INFERRED_FROM_ABSENT_DB_ROW
