source_section,source_count,wp_category_ids,wp_category_slugs,wp_category_names,target_section,action,status
politics,4567,113|110|91|90|154|109|87|92|85|232|231|381|2|84|1,politics|current-events|world|economy|varieties|ksa|sport|technology|art|sciences|business|infographics|uncategorized|health|%d8%ba%d9%8a%d8%b1-%d9%85%d8%b5%d9%86%d9%81,سياسة|أحداث جارية|عالم|اقتصاد|منوعات|السعودية|رياضة|تقنية|فن|علوم|أعمال|إنفوجرافيك|غير مصنف|صحة,politics,PRESERVE,EXACT
current-events,3732,110|84|87|113|91|109|85|90|92|154|2|230|232|231|381,current-events|health|sport|politics|world|ksa|art|economy|technology|varieties|uncategorized|culture|sciences|business|infographics,أحداث جارية|صحة|رياضة|سياسة|عالم|السعودية|فن|اقتصاد|تقنية|منوعات|غير مصنف|ثقافة|علوم|أعمال|إنفوجرافيك,current-events,PRESERVE,EXACT
economy,2828,90|91|109|110|92|87|154|84|113|85|231|232|381|1,economy|world|ksa|current-events|technology|sport|varieties|health|politics|art|business|sciences|infographics|%d8%ba%d9%8a%d8%b1-%d9%85%d8%b5%d9%86%d9%81,اقتصاد|عالم|السعودية|أحداث جارية|تقنية|رياضة|منوعات|صحة|سياسة|فن|أعمال|علوم|إنفوجرافيك|غير مصنف,economy,PRESERVE,EXACT
varieties,2727,154|90|109|92|84|113|91|85|110|87|230|232|381|1,varieties|economy|ksa|technology|health|politics|world|art|current-events|sport|culture|sciences|infographics|%d8%ba%d9%8a%d8%b1-%d9%85%d8%b5%d9%86%d9%81,منوعات|اقتصاد|السعودية|تقنية|صحة|سياسة|عالم|فن|أحداث جارية|رياضة|ثقافة|علوم|إنفوجرافيك|غير مصنف,varieties,PRESERVE,EXACT
health,2654,109|84|91|110|85|92|90|154|87|2|232|113|381|1,ksa|health|world|current-events|art|technology|economy|varieties|sport|uncategorized|sciences|politics|infographics|%d8%ba%d9%8a%d8%b1-%d9%85%d8%b5%d9%86%d9%81,السعودية|صحة|عالم|أحداث جارية|فن|تقنية|اقتصاد|منوعات|رياضة|غير مصنف|علوم|سياسة|إنفوجرافيك,health,PRESERVE,EXACT
technology,2209,92|91|109|110|90|154|87|84|113|85|232|231|230|381|1,technology|world|ksa|current-events|economy|varieties|sport|health|politics|art|sciences|business|culture|infographics|%d8%ba%d9%8a%d8%b1-%d9%85%d8%b5%d9%86%d9%81,تقنية|عالم|السعودية|أحداث جارية|اقتصاد|منوعات|رياضة|صحة|سياسة|فن|علوم|أعمال|ثقافة|إنفوجرافيك|غير مصنف,technology,PRESERVE,EXACT
sciences,1888,232|84|92|113|110|85|230|154|91|381|87|1,sciences|health|technology|politics|current-events|art|culture|varieties|world|infographics|sport|%d8%ba%d9%8a%d8%b1-%d9%85%d8%b5%d9%86%d9%81,علوم|صحة|تقنية|سياسة|أحداث جارية|فن|ثقافة|منوعات|عالم|إنفوجرافيك|رياضة|غير مصنف,sciences,PRESERVE,EXACT
world,1749,91|87|113|110|92|90|154|84|85|109|231|232,world|sport|politics|current-events|technology|economy|varieties|health|art|ksa|business|sciences,عالم|رياضة|سياسة|أحداث جارية|تقنية|اقتصاد|منوعات|صحة|فن|السعودية|أعمال|علوم,world,PRESERVE,EXACT
sport,1692,87|110|84|92|90|91|381|154|109|85|113|232,sport|current-events|health|technology|economy|world|infographics|varieties|ksa|art|politics|sciences,رياضة|أحداث جارية|صحة|تقنية|اقتصاد|عالم|إنفوجرافيك|منوعات|السعودية|فن|سياسة|علوم,sport,PRESERVE,EXACT
infographics,1690,381|90|113|232|84|92|231|110|87|230|154|85|1,infographics|economy|politics|sciences|health|technology|business|current-events|sport|culture|varieties|art|%d8%ba%d9%8a%d8%b1-%d9%85%d8%b5%d9%86%d9%81,إنفوجرافيك|اقتصاد|سياسة|علوم|صحة|تقنية|أعمال|أحداث جارية|رياضة|ثقافة|منوعات|فن|غير مصنف,infographics,PRESERVE,EXACT
ksa,1208,109|110|84|113|87|90|92|85|91|154|230|232,ksa|current-events|health|politics|sport|economy|technology|art|world|varieties|culture|sciences,السعودية|أحداث جارية|صحة|سياسة|رياضة|اقتصاد|تقنية|فن|عالم|منوعات|ثقافة|علوم,ksa,PRESERVE,EXACT
business,1011,231|92|110|87|90|109|232|113|91|154|381|230|1,business|technology|current-events|sport|economy|ksa|sciences|politics|world|varieties|infographics|culture|%d8%ba%d9%8a%d8%b1-%d9%85%d8%b5%d9%86%d9%81,أعمال|تقنية|أحداث جارية|رياضة|اقتصاد|السعودية|علوم|سياسة|عالم|منوعات|إنفوجرافيك|ثقافة|غير مصنف,business,PRESERVE,EXACT
art,615,85|91|84|110|154|113|109|90|232|230|381,art|world|health|current-events|varieties|politics|ksa|economy|sciences|culture|infographics,فن|عالم|صحة|أحداث جارية|منوعات|سياسة|السعودية|اقتصاد|علوم|ثقافة|إنفوجرافيك,art,PRESERVE,EXACT
culture,395,230|90|110|232|85|154|381,culture|economy|current-events|sciences|art|varieties|infographics,ثقافة|اقتصاد|أحداث جارية|علوم|فن|منوعات|إنفوجرافيك,culture,PRESERVE,EXACT
uncategorized,92,2|84|91|90|109|92|87|154|110|85|113,uncategorized|health|world|economy|ksa|technology|sport|varieties|current-events|art|politics,غير مصنف|صحة|عالم|اقتصاد|السعودية|تقنية|رياضة|منوعات|أحداث جارية|فن|سياسة,varieties,301_REQUIRED,MAPPED_WITH_REDIRECT
غير-مصنف,37,1|232|91|85|92|113|231|381|90|154|230|87,%d8%ba%d9%8a%d8%b1-%d9%85%d8%b5%d9%86%d9%81|sciences|world|art|technology|politics|business|infographics|economy|varieties|culture|sport,غير مصنف|علوم|عالم|فن|تقنية|سياسة|أعمال|إنفوجرافيك|اقتصاد|منوعات|ثقافة|رياضة,varieties,301_REQUIRED,MAPPED_WITH_REDIRECT
